id_cliente;genero;jubilado;casado;hijos;meses_antiguedad;servicio_telefonico;multiples_lineas;servicio_internet;tipo_servicio_internet;antivirus_web;copia_seguridad;antivirus_dispositivo;soporte_tecnico;tv_streaming;peliculas_streaming;contrato;factura_papel;metodo_pago;monto_abono;monto_total;abandono
7590-VHVEG;Mujer;0;1;0;1;0;2;1;1;0;1;0;0;0;0;1;1;Cheque electronico;2985;2985;0
5575-GNVDE;Hombre;0;0;0;34;1;0;1;1;1;0;1;0;0;0;2;0;Cheque papel;5695;18895;0
3668-QPYBK;Hombre;0;0;0;2;1;0;1;1;1;1;0;0;0;0;1;1;Cheque papel;5385;10815;1
7795-CFOCW;Hombre;0;0;0;45;0;2;1;1;1;0;1;1;0;0;2;0;Transferencia bancaria automatica;423;184075;0
9237-HQITU;Mujer;0;0;0;2;1;0;1;2;0;0;0;0;0;0;1;1;Cheque electronico;707;15165;1
9305-CDSKC;Mujer;0;0;0;8;1;1;1;2;0;0;1;0;1;1;1;1;Cheque electronico;9965;8205;1
1452-KIOVK;Hombre;0;0;1;22;1;1;1;2;0;1;0;0;1;0;1;1;Debito automatico;891;19494;0
6713-OKOMC;Mujer;0;0;0;10;0;2;1;1;1;0;0;0;0;0;1;0;Cheque papel;2975;3019;0
7892-POOKP;Mujer;0;1;0;28;1;1;1;2;0;0;1;1;1;1;1;1;Cheque electronico;1048;304605;1
6388-TABGU;Hombre;0;0;1;62;1;0;1;1;1;1;0;0;0;0;2;0;Transferencia bancaria automatica;5615;348795;0
9763-GRSKD;Hombre;0;1;1;13;1;0;1;1;1;0;0;0;0;0;1;1;Cheque papel;4995;58745;0
7469-LKBCI;Hombre;0;0;0;16;1;0;0;0;2;2;2;2;2;2;3;0;Debito automatico;1895;3268;0
8091-TTVAX;Hombre;0;1;0;58;1;1;1;2;0;0;1;0;1;1;2;0;Debito automatico;10035;56811;0
0280-XJGEX;Hombre;0;0;0;49;1;1;1;2;0;1;1;0;1;1;1;1;Transferencia bancaria automatica;1037;50363;1
5129-JLPIS;Hombre;0;0;0;25;1;0;1;2;1;0;1;1;1;1;1;1;Cheque electronico;1055;268605;0
3655-SNQYZ;Mujer;0;1;1;69;1;1;1;2;1;1;1;1;1;1;3;0;Debito automatico;11325;789515;0
8191-XWSZG;Mujer;0;0;0;52;1;0;0;0;2;2;2;2;2;2;2;0;Cheque papel;2065;102295;0
9959-WOFKT;Hombre;0;0;1;71;1;1;1;2;1;0;1;0;1;1;3;0;Transferencia bancaria automatica;1067;738225;0
4190-MFLUW;Mujer;0;1;1;10;1;0;1;1;0;0;1;1;0;0;1;0;Debito automatico;552;52835;1
4183-MYFRB;Mujer;0;0;0;21;1;0;1;2;0;1;1;0;0;1;1;1;Cheque electronico;9005;18629;0
8779-QRDMV;Hombre;1;0;0;1;0;2;1;1;0;0;1;0;0;1;1;1;Cheque electronico;3965;3965;1
1680-VDCWW;Hombre;0;1;0;12;1;0;0;0;2;2;2;2;2;2;2;0;Transferencia bancaria automatica;198;20225;0
1066-JKSGK;Hombre;0;0;0;1;1;0;0;0;2;2;2;2;2;2;1;0;Cheque papel;2015;2015;1
3638-WEABW;Mujer;0;1;0;58;1;1;1;1;0;1;0;1;0;0;3;1;Debito automatico;599;35051;0
6322-HRPFA;Hombre;0;1;1;49;1;0;1;1;1;1;0;1;0;0;1;0;Debito automatico;596;29703;0
6865-JZNKO;Mujer;0;0;0;30;1;0;1;1;1;1;0;0;0;0;1;1;Transferencia bancaria automatica;553;15306;0
6467-CHFZW;Hombre;0;1;1;47;1;1;1;2;0;1;0;0;1;1;1;1;Cheque electronico;9935;474915;1
8665-UTDHZ;Hombre;0;1;1;1;0;2;1;1;0;1;0;0;0;0;1;0;Cheque electronico;302;302;1
5248-YGIJN;Hombre;0;1;0;72;1;1;1;1;1;1;1;1;1;1;3;1;Debito automatico;9025;636945;0
8773-HHUOZ;Mujer;0;0;1;17;1;0;1;1;0;0;0;0;1;1;1;1;Cheque papel;647;10931;1
3841-NFECX;Mujer;1;1;0;71;1;1;1;2;1;1;1;1;0;0;3;1;Debito automatico;9635;676695;0
4929-XIHVW;Hombre;1;1;0;2;1;0;1;2;0;0;1;0;1;1;1;1;Debito automatico;955;18165;0
6827-IEAUQ;Mujer;0;1;1;27;1;0;1;1;1;1;1;1;0;0;2;0;Cheque papel;6615;187445;0
7310-EGVHZ;Hombre;0;0;0;1;1;0;0;0;2;2;2;2;2;2;1;0;Transferencia bancaria automatica;202;202;0
3413-BMNZE;Hombre;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;Transferencia bancaria automatica;4525;4525;0
6234-RAAPL;Mujer;0;1;1;72;1;1;1;2;1;1;0;1;1;0;3;0;Transferencia bancaria automatica;999;72517;0
6047-YHPVI;Hombre;0;0;0;5;1;0;1;2;0;0;0;0;0;0;1;1;Cheque electronico;697;3169;1
6572-ADKRS;Mujer;0;0;0;46;1;0;1;2;0;0;1;0;0;0;1;1;Debito automatico;748;35483;0
5380-WJKOV;Hombre;0;0;0;34;1;1;1;2;0;1;1;0;1;1;1;1;Cheque electronico;10635;354925;1
8168-UQWWF;Mujer;0;0;0;11;1;1;1;2;0;0;1;0;1;1;1;1;Transferencia bancaria automatica;9785;11054;1
8865-TNMNX;Hombre;0;1;1;10;1;0;1;1;0;1;0;0;0;0;2;0;Cheque papel;4955;4757;0
9489-DEDVP;Mujer;0;1;1;70;1;1;1;1;1;1;0;0;1;0;3;1;Debito automatico;692;487235;0
9867-JCZSP;Mujer;0;1;1;17;1;0;0;0;2;2;2;2;2;2;2;0;Cheque papel;2075;41825;0
4671-VJLCL;Mujer;0;0;0;63;1;1;1;1;1;1;1;1;1;0;3;1;Debito automatico;7985;486145;0
4080-IIARD;Mujer;0;1;0;13;1;1;1;1;1;1;0;1;1;0;1;1;Cheque electronico;762;98145;0
3714-NTNFO;Mujer;0;0;0;49;1;1;1;2;0;0;0;0;0;1;1;1;Cheque electronico;845;39067;0
5948-UJZLF;Hombre;0;0;0;2;1;0;1;1;0;1;0;0;0;0;1;0;Cheque papel;4925;97;0
7760-OYPDY;Mujer;0;0;0;2;1;0;1;2;0;0;0;0;1;0;1;1;Cheque electronico;8065;14415;1
7639-LIAYI;Hombre;0;0;0;52;1;1;1;1;1;0;0;1;1;1;3;1;Debito automatico;7975;42178;0
2954-PIBKO;Mujer;0;1;1;69;1;1;1;1;1;0;1;1;0;0;3;1;Debito automatico;6415;42541;0
8012-SOUDQ;Mujer;1;0;0;43;1;1;1;2;0;1;0;0;1;0;1;1;Cheque electronico;9025;383875;0
9420-LOJKX;Mujer;0;0;0;15;1;0;1;2;1;1;0;0;1;1;1;1;Debito automatico;991;14264;1
6575-SUVOI;Mujer;1;1;0;25;1;1;1;1;1;0;0;1;1;0;1;1;Debito automatico;695;175265;0
7495-OOKFY;Mujer;1;1;0;8;1;1;1;2;0;1;0;0;0;0;1;1;Debito automatico;8065;6333;1
4667-QONEA;Mujer;1;1;1;60;1;0;1;1;1;1;1;1;0;1;2;1;Debito automatico;7485;445635;0
1658-BYGOY;Hombre;1;0;0;18;1;1;1;2;0;0;0;0;1;1;1;1;Cheque electronico;9545;175255;1
8769-KKTPH;Mujer;0;1;1;63;1;1;1;2;1;0;0;0;1;1;2;1;Debito automatico;9965;63112;0
5067-XJQFU;Hombre;1;1;1;66;1;1;1;2;0;1;1;1;1;1;2;1;Cheque electronico;10845;707635;0
3957-SQXML;Mujer;0;1;1;34;1;1;0;0;2;2;2;2;2;2;3;0;Debito automatico;2495;8943;0
5954-BDFSG;Mujer;0;0;0;72;1;1;1;2;0;0;1;1;1;1;3;1;Debito automatico;1075;78537;0
0434-CSFON;Mujer;0;1;0;47;1;1;1;2;0;0;1;0;1;1;1;1;Cheque electronico;1005;47071;0
1215-FIGMP;Hombre;0;0;0;60;1;1;1;2;0;1;0;0;1;0;1;1;Transferencia bancaria automatica;899;54507;0
0526-SXDJP;Hombre;0;1;0;72;0;2;1;1;1;1;1;0;0;0;3;0;Transferencia bancaria automatica;421;2962;0
0557-ASKVU;Mujer;0;1;1;18;1;0;1;1;0;0;1;1;0;0;2;1;Debito automatico;544;9571;0
5698-BQJOH;Mujer;0;0;0;9;1;1;1;2;0;0;0;0;1;1;1;0;Cheque electronico;944;85725;1
5122-CYFXA;Mujer;0;0;0;3;1;0;1;1;0;1;0;1;1;1;1;1;Cheque electronico;753;2441;0
8627-ZYGSZ;Hombre;0;1;0;47;1;1;1;2;0;1;0;0;0;0;2;1;Cheque electronico;789;365035;0
3410-YOQBQ;Mujer;0;0;0;31;1;0;1;1;0;1;1;1;1;1;3;0;Cheque papel;792;24972;0
3170-NMYVV;Mujer;0;1;1;50;1;0;0;0;2;2;2;2;2;2;3;0;Transferencia bancaria automatica;2015;9309;0
7410-OIEDU;Hombre;0;0;0;10;1;0;1;2;1;0;1;0;0;0;1;1;Cheque papel;7985;88735;0
2273-QCKXA;Hombre;0;0;0;1;1;0;1;1;0;0;0;1;0;0;1;0;Cheque papel;4905;4905;0
0731-EBJQB;Mujer;0;1;1;52;1;0;0;0;2;2;2;2;2;2;2;1;Cheque electronico;204;109065;0
1891-QRQSA;Hombre;1;1;1;64;1;1;1;2;1;0;1;1;1;1;3;1;Transferencia bancaria automatica;1116;7099;0
8028-PNXHQ;Hombre;0;1;1;62;1;1;0;0;2;2;2;2;2;2;3;1;Transferencia bancaria automatica;2425;14246;0
5630-AHZIL;Mujer;0;0;1;3;1;0;1;1;1;0;0;1;0;1;1;1;Transferencia bancaria automatica;645;1774;0
2673-CXQEU;Mujer;1;0;0;56;1;1;1;2;1;1;1;0;1;1;2;0;Cheque electronico;1105;61395;0
6416-JNVRK;Mujer;0;0;0;46;1;0;1;1;0;0;0;0;0;1;2;0;Debito automatico;5565;268885;0
5590-ZSKRV;Mujer;0;1;1;8;1;0;1;1;1;1;0;0;0;0;1;0;Cheque papel;5465;48225;0
0191-ZHSKZ;Hombre;1;0;0;30;1;0;1;1;1;1;0;0;1;1;1;1;Cheque electronico;7475;21113;0
3887-PBQAO;Mujer;0;1;1;45;1;1;0;0;2;2;2;2;2;2;2;1;Debito automatico;259;12166;0
5919-TMRGD;Mujer;0;0;1;1;1;0;1;2;0;0;0;0;1;0;1;1;Cheque electronico;7935;7935;1
8108-UXRQN;Mujer;0;1;1;11;0;2;1;1;1;0;0;0;1;1;1;0;Cheque electronico;5055;56535;0
9191-MYQKX;Mujer;0;1;0;7;1;0;1;2;0;0;1;0;0;0;1;1;Transferencia bancaria automatica;7515;4969;1
9919-YLNNG;Mujer;0;0;0;42;1;0;1;2;0;1;1;1;1;1;1;1;Transferencia bancaria automatica;1038;43275;0
0318-ZOPWS;Mujer;0;1;0;49;1;0;0;0;2;2;2;2;2;2;3;1;Transferencia bancaria automatica;2015;97335;0
4445-ZJNMU;Hombre;0;0;0;9;1;1;1;2;0;1;0;0;1;1;1;1;Debito automatico;993;91875;0
4808-YNLEU;Mujer;0;1;0;35;1;0;1;1;1;0;0;0;1;0;2;1;Transferencia bancaria automatica;6215;221545;0
1862-QRWPE;Mujer;0;1;1;48;1;0;0;0;2;2;2;2;2;2;3;0;Transferencia bancaria automatica;2065;1057;0
2796-NNUFI;Mujer;0;1;1;46;1;0;0;0;2;2;2;2;2;2;3;1;Cheque papel;1995;9271;0
3016-KSVCP;Hombre;0;1;0;29;0;2;1;1;0;0;0;0;1;0;1;0;Cheque papel;3375;100925;0
4767-HZZHQ;Hombre;0;1;1;30;1;0;1;2;0;1;1;0;0;0;1;0;Transferencia bancaria automatica;8205;25702;0
2424-WVHPL;Hombre;1;0;0;1;1;0;1;2;0;0;0;1;0;0;1;0;Cheque electronico;747;747;0
7233-PAHHL;Hombre;0;1;1;66;1;1;1;1;1;0;1;1;1;1;3;1;Cheque papel;84;571425;0
6067-NGCEU;Mujer;0;0;0;65;1;1;1;2;1;1;1;0;1;1;1;1;Debito automatico;11105;7107;0
9848-JQJTX;Hombre;0;0;0;72;1;1;1;2;0;1;1;0;1;1;3;1;Transferencia bancaria automatica;1009;745905;0
8637-XJIVR;Mujer;0;0;0;12;1;1;1;2;1;0;0;0;0;0;1;1;Cheque electronico;7895;92735;1
9803-FTJCG;Hombre;0;1;1;71;1;1;1;1;1;1;0;1;0;0;2;1;Debito automatico;6685;47487;0
0278-YXOOG;Hombre;0;0;0;5;1;0;0;0;2;2;2;2;2;2;1;0;Cheque papel;2105;11385;1
3212-KXOCR;Hombre;0;0;0;52;1;0;0;0;2;2;2;2;2;2;3;0;Transferencia bancaria automatica;21;11072;0
4598-XLKNJ;Mujer;1;1;0;25;1;0;1;2;0;1;1;0;1;1;1;1;Cheque electronico;985;25145;1
6380-ARCEH;Hombre;0;0;0;1;1;0;0;0;2;2;2;2;2;2;1;0;Cheque papel;202;202;0
3679-XASPY;Mujer;0;1;1;1;1;0;0;0;2;2;2;2;2;2;1;0;Cheque electronico;1945;1945;0
7123-WQUHX;Hombre;0;0;0;38;1;1;1;2;0;0;1;1;1;0;2;0;Transferencia bancaria automatica;95;36056;0
5386-THSLQ;Mujer;1;1;0;66;0;2;1;1;0;1;1;0;1;0;2;0;Transferencia bancaria automatica;4555;302725;0
3192-NQECA;Hombre;0;1;0;68;1;1;1;2;0;1;1;1;1;1;3;1;Transferencia bancaria automatica;110;761185;1
