id_cliente;genero;casado;edad;graduado;profesion;experiencia_laboral;clasificacion_gasto;integrantes_familia;categoria_cliente;grupo_segmentacion
462809;Hombre;0;22;0;Personal de salud;1;1;4;Cat_4;D
462643;Mujer;1;38;1;Ingeniero;0;2;3;Cat_4;A
466315;Mujer;1;67;1;Ingeniero;1;1;1;Cat_6;B
461735;Hombre;1;67;1;Abogado;0;3;2;Cat_6;B
462669;Mujer;1;40;1;Entertainment;0;3;6;Cat_6;A
461319;Hombre;1;56;0;Artista;0;2;2;Cat_6;C
460156;Hombre;0;32;1;Personal de salud;1;1;3;Cat_6;C
464347;Mujer;0;33;1;Personal de salud;1;1;3;Cat_6;D
465015;Mujer;1;61;1;Ingeniero;0;1;3;Cat_7;D
465176;Mujer;1;55;1;Artista;1;2;4;Cat_6;C
464041;Mujer;0;26;1;Ingeniero;1;1;3;Cat_6;A
464942;Hombre;0;19;0;Personal de salud;4;1;4;Cat_4;D
461230;Mujer;0;19;0;Ejecutivo;0;1;0;Cat_3;D
459573;Hombre;1;70;0;Abogado;0;1;1;Cat_6;A
460849;Mujer;1;58;0;Doctor;0;1;1;Cat_3;B
460563;Mujer;0;41;0;Personal de salud;1;1;2;Cat_1;C
466865;Mujer;0;32;0;Constructor;9;1;5;Cat_3;D
461644;Hombre;0;31;0;Personal de salud;1;1;6;Cat_6;B
466772;Hombre;1;58;1;Entertainment;1;2;4;Cat_6;B
464291;Mujer;1;79;1;Artista;0;3;1;Cat_6;C
466084;Hombre;1;49;1;Constructor;12;1;1;Cat_3;A
459675;Mujer;0;18;0;Personal de salud;3;1;4;Cat_6;D
465602;Hombre;1;33;1;Artista;13;1;2;Cat_3;A
459168;Mujer;0;36;1;Artista;5;1;2;Cat_6;B
461021;Mujer;0;58;0;Ejecutivo;1;2;3;Cat_3;B
465083;Hombre;1;56;0;Artista;1;2;3;Cat_6;C
467604;Hombre;0;31;0;Personal de salud;9;1;8;Cat_4;A
459717;Hombre;1;49;1;Artista;1;2;3;Cat_6;C
465882;Hombre;0;35;1;Artista;0;1;1;Cat_6;B
461996;Mujer;0;35;0;Artista;5;1;4;Cat_6;C
463331;Mujer;1;45;1;Artista;0;1;3;Cat_6;C
462216;Mujer;1;42;0;Doctor;1;1;2;Cat_4;A
462454;Hombre;0;19;0;Personal de salud;1;1;3;Cat_2;D
467010;Hombre;0;26;0;Constructor;9;1;0;Cat_6;D
459861;Mujer;1;83;0;Abogado;1;3;2;Cat_6;D
467917;Mujer;0;27;1;Personal de salud;3;1;4;Cat_1;D
465572;Hombre;0;32;0;Doctor;5;1;1;Cat_4;D
460593;Mujer;1;28;0;Personal de salud;1;2;5;Cat_3;D
465891;Mujer;1;28;1;Artista;8;1;2;Cat_6;A
467442;Hombre;1;56;1;Artista;0;2;2;Cat_6;C
462044;Mujer;0;47;1;Artista;4;1;1;Cat_6;B
465686;Mujer;0;22;0;Personal de salud;0;1;2;Cat_6;D
464590;Mujer;0;27;1;Artista;14;1;3;Cat_6;A
466006;Mujer;1;49;1;Artista;1;1;2;;C
466152;Hombre;1;40;0;Ingeniero;8;1;1;Cat_6;A
463156;Mujer;1;79;0;Abogado;0;3;2;Cat_6;A
465729;Hombre;1;41;1;Artista;0;2;4;Cat_4;B
462384;Mujer;0;29;1;Personal de salud;0;1;1;Cat_7;A
462442;Hombre;0;19;0;Personal de salud;0;1;4;Cat_6;D
464191;Mujer;0;45;1;Ingeniero;1;1;1;Cat_6;A
462078;Mujer;1;61;0;Artista;1;2;2;Cat_2;B
467873;Mujer;1;36;1;Artista;1;2;2;Cat_6;C
461270;Hombre;1;40;1;Artista;1;1;1;Cat_3;A
462960;Mujer;1;57;1;Entertainment;0;2;2;Cat_6;C
464961;Hombre;1;76;0;Marketing;1;1;1;Cat_4;A
462110;Hombre;1;32;1;Artista;14;2;2;Cat_6;B
465769;Hombre;0;25;1;Personal de salud;9;1;4;Cat_6;D
462267;Hombre;0;32;0;Doctor;8;1;2;Cat_6;D
465269;Mujer;1;45;1;Artista;1;2;3;Cat_3;C
460881;Hombre;1;72;1;Abogado;1;1;0;Cat_4;D
461891;Hombre;1;48;1;Artista;0;2;2;Cat_6;C
466935;Hombre;1;55;1;Artista;9;2;2;Cat_1;C
464091;Hombre;1;74;1;Abogado;0;3;3;Cat_6;D
464535;Hombre;1;56;1;Abogado;1;3;2;Cat_6;A
463108;Hombre;1;59;1;Abogado;7;3;2;Cat_6;A
461356;Hombre;0;25;1;Entertainment;0;1;2;Cat_6;A
464570;Hombre;1;31;1;Doctor;0;2;2;Cat_6;A
464580;Hombre;0;27;0;Artista;8;1;4;Cat_6;A
465233;Hombre;1;57;1;Artista;0;2;4;Cat_6;B
467208;Mujer;1;39;1;Constructor;0;3;2;Cat_6;A
459954;Hombre;1;27;1;Personal de salud;8;1;2;Cat_6;D
460219;Mujer;1;51;1;Entertainment;8;2;2;Cat_6;A
460877;Mujer;1;47;0;Artista;0;2;5;Cat_6;B
460191;Mujer;0;33;0;Personal de salud;8;1;4;Cat_6;D
463742;Hombre;1;56;1;Artista;0;2;4;Cat_6;C
463691;Mujer;0;33;0;Constructor;0;1;3;Cat_6;B
463250;Mujer;0;36;1;Doctor;0;1;2;Cat_6;D
463952;Hombre;1;51;0;Artista;4;1;3;Cat_4;A
461558;Hombre;1;45;1;Ingeniero;2;2;2;Cat_6;C
466567;Mujer;0;49;1;Desconocida;1;1;1;Cat_6;D
465379;Hombre;0;30;0;Personal de salud;0;1;4;Cat_6;C
463814;Mujer;0;26;0;Personal de salud;6;1;3;Cat_5;D
