id_cliente;genero;casado;edad;graduado;profesion;experiencia_laboral;clasificacion_gasto;integrantes_familia;categoria_cliente;grupo_segmentacion
458989;Mujer;1;36;1;Ingeniero;0;1;1;Cat_6;B
458994;Hombre;1;37;1;Personal de salud;8;2;4;Cat_6;A
458996;Mujer;1;69;0;Desconocida;0;1;1;Cat_6;A
459000;Hombre;1;59;0;Ejecutivo;11;3;2;Cat_6;B
459001;Mujer;0;19;0;Marketing;0;1;4;Cat_6;A
459003;Hombre;1;47;1;Doctor;0;3;5;Cat_4;C
459005;Hombre;1;61;1;Doctor;5;1;3;Cat_6;D
459008;Mujer;1;47;1;Artista;1;2;3;Cat_6;D
459013;Hombre;1;50;1;Artista;2;2;4;Cat_6;B
459014;Hombre;0;19;0;Personal de salud;0;1;4;Cat_6;B
459015;Hombre;0;22;0;Personal de salud;0;1;3;Cat_6;D
459016;Mujer;0;22;0;Personal de salud;0;1;6;Cat_6;D
459024;Hombre;1;50;1;Artista;1;2;5;Cat_6;A
459026;Hombre;0;27;0;Personal de salud;8;1;3;Cat_3;D
459032;Hombre;0;18;0;Doctor;0;1;3;Cat_6;D
459033;Mujer;1;61;1;Artista;0;1;1;Cat_6;C
459036;Mujer;1;20;1;Abogado;1;2;3;Cat_3;D
459039;Hombre;1;45;1;Artista;1;2;2;Cat_6;B
459041;Hombre;1;55;1;Artista;8;1;1;Cat_6;B
459045;Mujer;1;88;1;Abogado;1;2;4;Cat_6;C
459056;Hombre;1;63;0;Ejecutivo;0;3;3;Cat_6;A
459057;Hombre;1;69;0;Abogado;0;3;0;Cat_6;D
459058;Hombre;0;42;1;Artista;0;1;4;Cat_3;A
459059;Hombre;1;79;0;Ejecutivo;0;3;2;Cat_6;B
459061;Mujer;1;35;1;Personal de salud;9;3;3;Cat_6;B
459064;Hombre;1;27;0;Ejecutivo;5;3;4;Cat_6;B
459065;Hombre;1;52;1;Ingeniero;0;1;2;Cat_6;A
459074;Mujer;0;29;1;Personal de salud;0;1;4;Cat_4;B
459077;Mujer;1;79;0;Abogado;1;3;2;Cat_6;A
459079;Hombre;1;87;1;Abogado;0;3;2;Cat_6;C
459080;Hombre;1;89;0;Abogado;1;1;2;Cat_6;C
459083;Hombre;1;63;1;Artista;9;2;3;;A
459090;Hombre;0;31;0;Artista;1;1;2;Cat_6;B
459091;Hombre;1;72;1;Artista;1;2;6;Cat_1;D
459093;Mujer;1;41;1;Doctor;9;2;2;;D
459100;Mujer;0;61;1;Artista;11;1;1;Cat_6;C
459106;Hombre;1;62;1;Artista;0;1;2;Cat_6;A
459114;Hombre;1;56;1;Artista;1;2;2;Cat_6;B
459116;Hombre;1;60;1;Artista;2;2;5;Cat_6;C
459117;Hombre;1;68;1;Artista;0;3;2;Cat_6;B
459118;Hombre;0;19;0;Personal de salud;0;1;8;Cat_6;A
459119;Hombre;1;57;1;Ejecutivo;8;3;3;Cat_6;D
459120;Hombre;0;19;0;Personal de salud;5;1;5;Cat_2;A
459121;Mujer;1;51;1;Artista;3;2;6;Cat_6;C
459123;Mujer;1;86;0;Artista;1;3;2;Cat_6;A
459130;Mujer;1;74;0;Abogado;1;3;2;Cat_6;C
459132;Hombre;0;23;0;Entertainment;6;1;2;Cat_6;B
459136;Hombre;1;47;1;Artista;0;2;2;Cat_6;D
459140;Mujer;0;19;0;Personal de salud;7;1;6;Cat_6;D
459143;Hombre;1;50;0;Artista;0;3;4;Cat_6;B
459144;Hombre;1;80;1;Abogado;0;3;2;Cat_6;B
459145;Hombre;1;78;0;Abogado;0;1;1;Cat_2;C
459150;Mujer;0;48;1;Doctor;0;1;1;Cat_6;A
459160;Hombre;1;70;1;Doctor;1;2;2;Cat_6;B
459161;Hombre;1;50;1;Ejecutivo;3;3;5;Cat_6;D
459162;Mujer;1;83;1;Abogado;0;3;2;Cat_6;C
459163;Hombre;0;35;1;Entertainment;0;1;1;Cat_6;A
459167;Mujer;0;36;1;Artista;0;1;2;Cat_5;D
459170;Mujer;0;35;1;Artista;1;1;1;Cat_6;B
459171;Hombre;1;35;1;Artista;0;2;2;Cat_6;D
459172;Hombre;0;18;0;Personal de salud;3;1;3;Cat_2;C
459175;Mujer;1;73;1;Artista;1;2;2;Cat_6;C
459181;Hombre;1;62;0;Artista;1;3;3;Cat_6;A
459182;Mujer;1;46;1;Artista;1;2;2;Cat_6;A
459184;Hombre;1;43;1;Entertainment;0;1;4;Cat_4;A
459185;Mujer;0;32;1;Entertainment;7;1;1;Cat_6;D
459193;Hombre;0;39;1;Artista;0;1;1;Cat_6;C
459194;Mujer;1;89;1;Abogado;0;3;2;Cat_6;A
459196;Mujer;0;18;0;Personal de salud;0;1;3;Cat_4;B
459208;Mujer;1;57;1;Artista;0;3;2;Cat_3;B
459209;Mujer;0;18;0;Entertainment;0;1;4;Cat_6;D
459210;Mujer;1;71;1;Artista;1;3;2;Cat_6;C
459212;Mujer;1;69;1;Artista;0;2;2;Cat_6;C
459213;Mujer;0;42;1;Personal de salud;0;1;4;Cat_6;D
459216;Mujer;0;36;1;Artista;0;1;2;Cat_6;B
459220;Mujer;1;80;1;Abogado;1;3;2;Cat_6;D
459221;Hombre;1;69;0;Entertainment;0;1;1;Cat_6;B
459222;Mujer;1;67;1;Artista;0;2;3;Cat_6;A
459223;Mujer;1;47;1;Doctor;1;2;4;Cat_6;C
459224;Mujer;1;49;1;Artista;0;2;2;Cat_6;D
459227;Mujer;1;32;0;Ingeniero;9;1;4;Cat_6;A
459229;Mujer;1;65;1;Abogado;1;2;4;Cat_6;D
459236;Mujer;1;78;0;Abogado;0;3;2;Cat_6;D
459237;Hombre;0;33;1;Artista;1;1;6;Cat_6;D
459244;Hombre;1;48;1;Artista;1;1;1;Cat_6;D
459247;Hombre;1;58;1;Ejecutivo;1;2;5;Cat_6;A
459258;Mujer;1;83;1;Abogado;1;3;0;Cat_6;C
459263;Mujer;0;30;0;Personal de salud;9;1;4;Cat_6;A
459264;Mujer;0;35;1;Artista;0;1;2;Cat_6;D
459266;Hombre;0;32;1;Personal de salud;6;1;5;Cat_6;D
