,price,lotSize,age,landValue,livingArea,pctCollege,bedrooms,fireplaces,bathrooms,rooms,heating,fuel,sewer,waterfront,newConstruction,centralAir
0,132500,0.09,42,50000,906,35,2,1,1.0,5,electric,electric,septic,No,No,No
1,181115,0.92,0,22300,1953,51,3,0,2.5,6,hot water/steam,gas,septic,No,No,No
2,109000,0.19,133,7300,1944,51,4,1,1.0,8,hot water/steam,gas,public/commercial,No,No,No
3,155000,0.41,13,18700,1944,51,3,1,1.5,5,hot air,gas,septic,No,No,No
4,86060,0.11,0,15000,840,51,2,0,1.0,3,hot air,gas,public/commercial,No,Yes,Yes
5,120000,0.68,31,14000,1152,22,4,1,1.0,8,hot air,gas,septic,No,No,No
6,153000,0.4,33,23300,2752,51,4,1,1.5,8,hot water/steam,oil,septic,No,No,No
7,170000,1.21,23,14600,1662,35,4,1,1.5,9,hot air,oil,septic,No,No,No
8,90000,0.83,36,22200,1632,51,3,0,1.5,8,electric,electric,septic,No,No,No
9,122900,1.94,4,21200,1416,44,3,0,1.5,6,hot air,gas,none,No,No,No
10,325000,2.29,123,12600,2894,51,7,0,1.0,12,hot air,oil,septic,No,No,No
11,120000,0.92,1,22300,1624,51,3,0,2.0,6,hot air,gas,septic,No,No,No
12,85860,8.97,13,4800,704,41,2,0,1.0,4,electric,electric,septic,No,No,No
13,97000,0.11,153,3100,1383,57,3,0,2.0,5,hot water/steam,gas,public/commercial,No,No,No
14,127000,0.14,9,300,1300,41,3,0,1.5,8,hot air,oil,septic,No,No,No
15,89900,0.0,88,2500,936,57,3,0,1.0,4,hot water/steam,gas,public/commercial,No,No,No
16,155000,0.13,9,300,1300,41,3,0,1.5,7,hot air,oil,septic,No,No,No
17,253750,2.0,0,49800,2816,71,4,1,2.5,12,hot air,gas,none,No,No,Yes
18,60000,0.21,82,8500,924,35,2,0,1.0,6,hot water/steam,oil,septic,No,No,No
19,87500,0.88,17,19400,1092,35,3,0,1.0,6,hot air,oil,septic,No,No,No
20,112000,1.0,12,8600,1056,35,3,0,1.0,7,electric,electric,septic,No,No,No
21,104900,0.43,21,5600,1600,39,3,0,1.5,4,electric,electric,public/commercial,No,No,No
22,148635,0.32,1,6200,1576,39,3,0,2.5,7,hot air,gas,septic,No,Yes,Yes
23,150000,0.03,24,5100,2080,39,3,0,2.0,6,hot air,oil,septic,No,No,No
24,90400,0.36,16,5200,1600,39,3,0,1.5,4,electric,electric,public/commercial,No,No,No
25,248800,4.0,28,5500,2224,39,4,0,3.0,10,hot air,oil,septic,No,No,No
26,135000,1.83,126,6000,1656,39,3,0,1.0,6,hot water/steam,oil,septic,No,No,No
27,145000,3.0,26,4500,1170,39,4,0,1.5,5,hot air,oil,septic,No,No,No
28,457000,0.43,53,2700,2461,39,4,1,2.0,10,hot air,oil,public/commercial,Yes,No,No
29,140000,0.44,56,19400,1544,71,3,1,1.5,7,hot air,oil,septic,No,No,Yes
30,130000,1.24,51,24800,1220,71,2,2,1.0,4,hot water/steam,oil,septic,No,No,No
31,187000,0.46,3,15200,1858,52,3,1,2.5,7,hot air,gas,septic,No,No,No
32,229000,0.87,9,41100,2219,64,3,1,2.0,8,hot air,gas,public/commercial,No,No,No
33,227000,1.8,201,25500,1876,52,3,0,2.5,5,hot air,oil,septic,No,No,No
34,179900,0.46,1,15200,2026,52,4,1,2.5,6,hot air,gas,septic,No,No,No
35,169900,0.91,19,20200,1671,71,4,1,3.0,8,hot air,gas,septic,No,No,Yes
36,209900,0.46,1,15200,2060,52,4,1,2.5,7,hot air,gas,none,No,No,No
37,169900,0.59,0,17300,1884,52,4,1,2.5,9,hot air,gas,septic,No,No,No
38,293000,7.24,43,36600,2022,71,4,2,3.0,6,hot water/steam,gas,septic,No,No,No
39,245900,0.19,0,20700,2394,71,4,1,2.5,7,hot air,gas,none,No,No,Yes
40,157000,0.46,45,20200,1390,71,3,1,1.5,6,hot air,gas,septic,No,No,No
41,195000,0.41,32,27100,1954,71,4,0,2.5,8,hot air,gas,septic,No,No,Yes
42,150000,0.78,54,24500,1554,71,3,1,1.5,5,hot air,oil,septic,No,No,Yes
43,234900,0.89,9,41600,1976,64,3,0,2.5,6,hot air,gas,public/commercial,No,No,Yes
44,279550,1.34,0,44400,2479,71,4,1,2.5,10,hot air,gas,septic,No,No,No
45,246500,1.0,0,17100,2714,71,4,1,2.5,9,hot air,gas,none,No,No,No
46,124000,1.0,98,15500,797,52,2,0,1.0,3,hot air,oil,septic,No,No,No
47,138000,0.27,54,8900,1500,71,3,0,2.5,7,hot water/steam,gas,septic,No,No,No
48,290000,0.71,73,61000,1838,71,4,0,2.0,8,hot air,oil,septic,Yes,No,No
49,108000,0.9,48,19000,1042,71,2,1,2.0,3,hot air,gas,septic,No,No,No
50,134900,0.24,10,8000,1782,52,3,0,2.5,6,hot air,gas,public/commercial,No,No,Yes
51,64500,0.06,16,1600,1480,52,2,1,2.5,5,hot air,gas,public/commercial,No,No,No
52,142000,0.55,20,13800,1426,52,3,1,2.0,6,hot air,gas,septic,No,No,No
53,125000,0.34,32,11100,1404,52,3,0,2.0,5,hot air,gas,septic,No,No,No
