ID,Trabajo,Edad,Salario,Compra
0,Dependiente,19,19000,No
1,Dependiente,35,20000,No
2,Independiente,26,43000,No
3,Independiente,27,57000,No
4,Dependiente,19,76000,No
5,Dependiente,27,58000,No
6,Independiente,27,84000,No
7,Independiente,32,150000,Si
8,Dependiente,25,33000,No
9,Independiente,35,65000,No
10,Independiente,26,80000,No
11,Independiente,26,52000,No
12,Dependiente,20,86000,No
13,Dependiente,32,18000,No
14,Dependiente,18,82000,No
15,Dependiente,29,80000,No
16,Dependiente,47,25000,Si
17,Dependiente,45,26000,Si
18,Dependiente,46,28000,Si
19,Independiente,48,29000,Si
20,Dependiente,45,22000,Si
21,Independiente,47,49000,Si
22,Dependiente,48,41000,Si
23,Independiente,45,22000,Si
24,Dependiente,46,23000,Si
25,Dependiente,47,20000,Si
26,Dependiente,49,28000,Si
27,Independiente,47,30000,Si
28,Dependiente,29,43000,No
29,Dependiente,31,18000,No
30,Dependiente,31,74000,No
31,Independiente,27,137000,Si
32,Independiente,21,16000,No
33,Independiente,28,44000,No
34,Dependiente,27,90000,No
35,Dependiente,35,27000,No
36,Independiente,33,28000,No
37,Dependiente,30,49000,No
38,Independiente,26,72000,No
39,Independiente,27,31000,No
40,Independiente,27,17000,No
41,Independiente,33,51000,No
42,Dependiente,35,108000,No
43,Dependiente,30,15000,No
44,Independiente,28,84000,No
45,Dependiente,23,20000,No
46,Dependiente,25,79000,No
47,Independiente,27,54000,No
48,Dependiente,30,135000,Si
49,Independiente,31,89000,No
50,Independiente,24,32000,No
51,Independiente,18,44000,No
52,Independiente,29,83000,No
53,Independiente,35,23000,No
54,Independiente,27,58000,No
55,Independiente,24,55000,No
56,Independiente,23,48000,No
57,Dependiente,28,79000,No
58,Dependiente,22,18000,No
59,Independiente,32,117000,No
60,Dependiente,27,20000,No
61,Dependiente,25,87000,No
62,Independiente,23,66000,No
63,Dependiente,32,120000,Si
64,Independiente,59,83000,No
65,Dependiente,24,58000,No
66,Dependiente,24,19000,No
67,Independiente,23,82000,No
68,Independiente,22,63000,No
69,Independiente,31,68000,No
70,Dependiente,25,80000,No
71,Independiente,24,27000,No
72,Independiente,20,23000,No
73,Independiente,33,113000,No
74,Dependiente,32,18000,No
75,Dependiente,34,112000,Si
76,Dependiente,18,52000,No
77,Independiente,22,27000,No
78,Independiente,28,87000,No
79,Independiente,26,17000,No
80,Dependiente,30,80000,No
81,Dependiente,39,42000,No
82,Dependiente,20,49000,No
83,Dependiente,35,88000,No
84,Independiente,30,62000,No
85,Independiente,31,118000,Si
86,Dependiente,24,55000,No
87,Independiente,28,85000,No
88,Dependiente,26,81000,No
89,Dependiente,35,50000,No
90,Dependiente,22,81000,No
91,Independiente,30,116000,No
92,Dependiente,26,15000,No
93,Independiente,29,28000,No
94,Independiente,29,83000,No
95,Independiente,35,44000,No
96,Independiente,35,25000,No
97,Dependiente,28,123000,Si
98,Dependiente,35,73000,No
99,Independiente,28,37000,No
100,Dependiente,27,88000,No
101,Dependiente,28,59000,No
102,Independiente,32,86000,No
103,Independiente,33,149000,Si
104,Independiente,19,21000,No
105,Dependiente,21,72000,No
106,Independiente,26,35000,No
107,Dependiente,27,89000,No
108,Dependiente,26,86000,No
109,Independiente,38,80000,No
110,Independiente,39,71000,No
111,Independiente,37,71000,No
112,Dependiente,38,61000,No
113,Dependiente,37,55000,No
114,Dependiente,42,80000,No
115,Dependiente,40,57000,No
116,Dependiente,35,75000,No
117,Dependiente,36,52000,No
118,Dependiente,40,59000,No
119,Dependiente,41,59000,No
120,Independiente,36,75000,No
121,Dependiente,37,72000,No
122,Independiente,40,75000,No
123,Dependiente,35,53000,No
124,Independiente,41,51000,No
125,Independiente,39,61000,No
126,Dependiente,42,65000,No
127,Dependiente,26,32000,No
128,Dependiente,30,17000,No
129,Independiente,26,84000,No
130,Dependiente,31,58000,No
131,Dependiente,33,31000,No
132,Dependiente,30,87000,No
133,Independiente,21,68000,No
134,Independiente,28,55000,No
135,Dependiente,23,63000,No
136,Independiente,20,82000,No
137,Dependiente,30,107000,Si
138,Independiente,28,59000,No
139,Dependiente,19,25000,No
140,Dependiente,19,85000,No
141,Independiente,18,68000,No
142,Dependiente,35,59000,No
143,Dependiente,30,89000,No
144,Independiente,34,25000,No
145,Independiente,24,89000,No
146,Independiente,27,96000,Si
147,Independiente,41,30000,No
148,Dependiente,29,61000,No
149,Dependiente,20,74000,No
150,Independiente,26,15000,No
151,Dependiente,41,45000,No
152,Dependiente,31,76000,No
153,Independiente,36,50000,No
154,Dependiente,40,47000,No
155,Independiente,31,15000,No
156,Dependiente,46,59000,No
157,Dependiente,29,75000,No
158,Dependiente,26,30000,No
159,Independiente,32,135000,Si
160,Dependiente,32,100000,Si
161,Dependiente,25,90000,No
162,Independiente,37,33000,No
163,Dependiente,35,38000,No
164,Independiente,33,69000,No
165,Independiente,18,86000,No
166,Independiente,22,55000,No
167,Independiente,35,71000,No
168,Dependiente,29,148000,Si
169,Independiente,29,47000,No
170,Dependiente,21,88000,No
171,Dependiente,34,115000,No
172,Independiente,26,118000,No
173,Independiente,34,43000,No
174,Independiente,34,72000,No
175,Independiente,23,28000,No
176,Independiente,35,47000,No
177,Dependiente,25,22000,No
178,Dependiente,24,23000,No
179,Independiente,31,34000,No
180,Dependiente,26,16000,No
181,Independiente,31,71000,No
182,Independiente,32,117000,Si
183,Dependiente,33,43000,No
184,Independiente,33,60000,No
185,Dependiente,31,66000,No
186,Independiente,20,82000,No
187,Independiente,33,41000,No
188,Dependiente,35,72000,No
189,Dependiente,28,32000,No
190,Dependiente,24,84000,No
191,Independiente,19,26000,No
192,Dependiente,29,43000,No
193,Dependiente,19,70000,No
194,Dependiente,28,89000,No
195,Dependiente,34,43000,No
196,Independiente,30,79000,No
197,Independiente,20,36000,No
198,Dependiente,26,80000,No
199,Dependiente,35,22000,No
200,Dependiente,35,39000,No
201,Dependiente,49,74000,No
202,Independiente,39,134000,Si
203,Independiente,41,71000,No
204,Independiente,58,101000,Si
205,Independiente,47,47000,No
