id,l1,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price
0,Argentina,Capital Federal,Palermo,2,1,1,80,,235000
1,Argentina,Capital Federal,Belgrano,,,1,,40,105000
2,Argentina,Capital Federal,San Telmo,1,,1,34,31,109183
3,Argentina,Capital Federal,Villa Urquiza,2,,1,,51,110000
4,Argentina,Capital Federal,Belgrano,6,4,2,190,178,550000
5,Argentina,Capital Federal,Belgrano,4,3,2,240,,750000
6,Argentina,Capital Federal,Palermo,4,3,2,240,,750000
7,Argentina,Capital Federal,Puerto Madero,3,2,3,161,149,1600000
8,Argentina,Capital Federal,Palermo,2,1,1,38,38,132000
9,Argentina,Capital Federal,Palermo,3,2,1,80,75,245000
10,Argentina,Capital Federal,Villa del Parque,1,1,1,44,41,86000
11,Argentina,Capital Federal,Villa Santa Rita,2,1,1,73,46,110000
12,Argentina,Capital Federal,Villa Urquiza,2,1,1,47,47,99000
13,Argentina,Capital Federal,Villa Urquiza,1,1,1,45,31,99000
14,Argentina,Capital Federal,San Telmo,2,1,1,48,44,111324
15,Argentina,Capital Federal,San Telmo,2,1,1,48,44,113464
16,Argentina,Capital Federal,San Telmo,2,1,1,34,31,107042
17,Argentina,Capital Federal,Palermo,3,2,1,58,55,169000
18,Argentina,Capital Federal,Belgrano,2,1,1,52,52,171000
19,Argentina,Capital Federal,Palermo,4,3,1,,123,387066
20,Argentina,Capital Federal,Belgrano,,,1,,35,115500
21,Argentina,Capital Federal,Belgrano,1,,1,42,42,131300
22,Argentina,Capital Federal,Belgrano,1,,1,39,39,139300
23,Argentina,Capital Federal,Belgrano,1,,1,37,37,107000
24,Argentina,Capital Federal,Belgrano,1,,1,42,42,133900
25,Argentina,Capital Federal,Balvanera,2,1,,50,42,144944
26,Argentina,Capital Federal,Belgrano,,,1,60,49,148400
27,Argentina,Capital Federal,Palermo,2,1,1,,,298000
28,Argentina,Capital Federal,Palermo,4,3,1,148,148,398000
29,Argentina,Capital Federal,Palermo,1,,1,37,37,130000
30,Argentina,Capital Federal,Palermo,1,,1,35,35,120000
31,Argentina,Capital Federal,Belgrano,1,,1,27,23,83700
32,Argentina,Capital Federal,Belgrano,1,,1,42,42,123700
33,Argentina,Capital Federal,Belgrano,2,1,1,58,49,148400
34,Argentina,Capital Federal,Belgrano,2,1,1,52,52,174500
35,Argentina,Capital Federal,Palermo,4,3,2,240,,750000
36,Argentina,Capital Federal,Balvanera,2,1,,50,42,133840
37,Argentina,Capital Federal,Villa Devoto,2,1,1,69,46,135000
38,Argentina,Capital Federal,Boedo,1,1,1,40,35,75000
39,Argentina,Capital Federal,Villa Crespo,2,1,1,,47,135000
40,Argentina,Capital Federal,Abasto,3,2,2,90,82,205000
41,Argentina,Capital Federal,San Nicolás,2,,,33,,95000
42,Argentina,Capital Federal,San Nicolás,2,1,1,35,35,96000
43,Argentina,Capital Federal,Tribunales,2,1,1,58,58,140661
44,Argentina,Capital Federal,Palermo,1,1,1,42,42,135000
45,Argentina,Capital Federal,Palermo,1,1,1,53,53,150000
46,Argentina,Capital Federal,Palermo,1,1,1,35,33,105000
47,Argentina,Capital Federal,Mataderos,,,,,,90000
48,Argentina,Capital Federal,Palermo,1,1,1,35,35,94000
49,Argentina,Capital Federal,Belgrano,1,,1,36,34,115000
50,Argentina,Capital Federal,Recoleta,1,,1,,,54000
51,Argentina,Capital Federal,Monserrat,1,,1,20,,43000
52,Argentina,Capital Federal,Villa Luro,,,,,,90000
53,Argentina,Capital Federal,San Nicolás,1,,1,45,45,100000
54,Argentina,Capital Federal,Palermo,2,1,1,37,37,130000
55,Argentina,Capital Federal,Palermo,2,1,1,64,58,220000
56,Argentina,Capital Federal,Palermo,2,1,1,59,59,180000
57,Argentina,Capital Federal,Barracas,2,1,2,80,49,220000
58,Argentina,Capital Federal,Belgrano,2,1,1,77,77,207900
59,Argentina,Capital Federal,Belgrano,2,1,1,37,35,120000
60,Argentina,Capital Federal,Belgrano,2,1,2,65,52,325000
61,Argentina,Capital Federal,Belgrano,2,1,1,62,62,186000
62,Argentina,Capital Federal,Villa Urquiza,1,1,1,65,65,123000
63,Argentina,Capital Federal,Villa Urquiza,1,1,1,38,38,89000
64,Argentina,Capital Federal,Palermo,3,2,1,,,398000
65,Argentina,Capital Federal,Palermo,3,2,1,83,79,330000
66,Argentina,Capital Federal,Barrio Norte,5,3,2,107,107,330000
67,Argentina,Capital Federal,Palermo,5,4,5,275,275,2750000
68,Argentina,Capital Federal,Villa Crespo,4,3,2,115,115,310184
69,Argentina,Capital Federal,Recoleta,4,3,2,170,170,830000
70,Argentina,Capital Federal,Belgrano,5,4,3,700,500,1111111
71,Argentina,Capital Federal,Congreso,4,3,2,154,154,265000
72,Argentina,Capital Federal,Belgrano,4,3,2,119,72,335000
73,Argentina,Capital Federal,Villa Crespo,3,2,2,80,77,230000
74,Argentina,Capital Federal,Belgrano,3,2,2,129,67,320000
75,Argentina,Capital Federal,Recoleta,4,3,2,144,144,448000
76,Argentina,Capital Federal,Puerto Madero,1,1,1,37,37,220000
77,Argentina,Capital Federal,Villa Crespo,2,1,1,36,36,87000
78,Argentina,Capital Federal,Villa Crespo,2,1,1,50,45,89000
79,Argentina,Capital Federal,Villa Crespo,2,1,1,63,60,12501
80,Argentina,Capital Federal,Villa Crespo,2,1,1,31,31,65000
81,Argentina,Capital Federal,Villa Devoto,2,1,1,69,46,135000
82,Argentina,Capital Federal,Puerto Madero,1,1,1,37,37,220000
83,Argentina,Capital Federal,Puerto Madero,2,1,2,66,62,315000
84,Argentina,Capital Federal,Puerto Madero,2,1,2,66,62,314999
85,Argentina,Capital Federal,Villa Pueyrredón,2,1,1,49,45,108000
86,Argentina,Capital Federal,Puerto Madero,2,1,2,66,62,315000
87,Argentina,Capital Federal,Puerto Madero,2,1,2,66,62,354999
88,Argentina,Capital Federal,Villa Pueyrredón,2,1,1,48,45,125000
89,Argentina,Capital Federal,Villa Pueyrredón,2,1,1,49,45,125000
90,Argentina,Capital Federal,Almagro,3,2,1,71,66,116000
91,Argentina,Capital Federal,Villa Pueyrredón,1,1,1,48,45,107000
92,Argentina,Capital Federal,Flores,3,2,2,60,57,149000
93,Argentina,Capital Federal,Nuñez,3,2,3,97,63,204510
94,Argentina,Capital Federal,Almagro,3,2,1,71,66,116000
95,Argentina,Capital Federal,Puerto Madero,2,1,2,66,62,355000
96,Argentina,Capital Federal,Almagro,3,2,2,65,62,123000
97,Argentina,Capital Federal,Almagro,2,1,1,52,48,153000
98,Argentina,Capital Federal,Almagro,3,2,1,55,45,94000
99,Argentina,Capital Federal,Villa Crespo,3,2,1,60,56,105000
100,Argentina,Capital Federal,Puerto Madero,3,2,2,80,76,525000
101,Argentina,Capital Federal,San Cristobal,3,2,1,79,70,138250
102,Argentina,Capital Federal,Parque Centenario,3,2,2,140,130,340000
103,Argentina,Capital Federal,Once,4,3,1,130,122,270000
104,Argentina,Capital Federal,Flores,4,3,3,190,172,459000
105,Argentina,Capital Federal,Almagro,4,3,2,78,70,183000
106,Argentina,Capital Federal,Villa Crespo,3,2,2,75,64,230000
107,Argentina,Capital Federal,Palermo,4,3,2,85,76,199000
108,Argentina,Capital Federal,Palermo,4,3,3,179,172,620000
109,Argentina,Capital Federal,Palermo,4,3,2,140,110,279500
110,Argentina,Capital Federal,Palermo,4,3,1,88,81,200000
111,Argentina,Capital Federal,Palermo,4,3,3,136,129,500000
112,Argentina,Capital Federal,Belgrano,4,3,3,118,110,395000
113,Argentina,Capital Federal,Belgrano,5,3,4,259,236,695000
114,Argentina,Capital Federal,Belgrano,4,3,3,143,128,780000
115,Argentina,Capital Federal,Palermo,4,3,3,89,80,284900
116,Argentina,Capital Federal,Belgrano,4,3,2,90,82,275000
117,Argentina,Capital Federal,Villa Crespo,3,2,1,58,58,184910
118,Argentina,Capital Federal,Villa Crespo,3,2,1,66,62,132000
119,Argentina,Capital Federal,Belgrano,3,2,1,48,48,135000
120,Argentina,Capital Federal,Belgrano,4,2,2,90,85,275000
121,Argentina,Capital Federal,Belgrano,3,2,2,80,80,530000
