ID,Trabajo,Edad,Salario,Compra
0,1,19,19000,No
1,1,35,20000,No
2,0,26,43000,No
3,0,27,57000,No
4,1,19,76000,No
5,1,27,58000,No
6,0,27,84000,No
7,0,32,150000,Si
8,1,25,33000,No
9,0,35,65000,No
10,0,26,80000,No
11,0,26,52000,No
12,1,20,86000,No
13,1,32,18000,No
14,1,18,82000,No
15,1,29,80000,No
16,1,47,25000,Si
17,1,45,26000,Si
18,1,46,28000,Si
19,0,48,29000,Si
20,1,45,22000,Si
21,0,47,49000,Si
22,1,48,41000,Si
23,0,45,22000,Si
24,1,46,23000,Si
25,1,47,20000,Si
26,1,49,28000,Si
27,0,47,30000,Si
28,1,29,43000,No
29,1,31,18000,No
30,1,31,74000,No
31,0,27,137000,Si
32,0,21,16000,No
33,0,28,44000,No
34,1,27,90000,No
35,1,35,27000,No
36,0,33,28000,No
37,1,30,49000,No
38,0,26,72000,No
39,0,27,31000,No
40,0,27,17000,No
41,0,33,51000,No
42,1,35,108000,No
43,1,30,15000,No
44,0,28,84000,No
45,1,23,20000,No
46,1,25,79000,No
47,0,27,54000,No
48,1,30,135000,Si
49,0,31,89000,No
50,0,24,32000,No
51,0,18,44000,No
52,0,29,83000,No
53,0,35,23000,No
54,0,27,58000,No
55,0,24,55000,No
56,0,23,48000,No
57,1,28,79000,No
58,1,22,18000,No
59,0,32,117000,No
60,1,27,20000,No
61,1,25,87000,No
62,0,23,66000,No
63,1,32,120000,Si
64,0,59,83000,No
65,1,24,58000,No
66,1,24,19000,No
67,0,23,82000,No
68,0,22,63000,No
69,0,31,68000,No
70,1,25,80000,No
71,0,24,27000,No
72,0,20,23000,No
73,0,33,113000,No
74,1,32,18000,No
75,1,34,112000,Si
76,1,18,52000,No
77,0,22,27000,No
78,0,28,87000,No
79,0,26,17000,No
80,1,30,80000,No
81,1,39,42000,No
82,1,20,49000,No
83,1,35,88000,No
84,0,30,62000,No
85,0,31,118000,Si
86,1,24,55000,No
87,0,28,85000,No
88,1,26,81000,No
89,1,35,50000,No
90,1,22,81000,No
91,0,30,116000,No
92,1,26,15000,No
93,0,29,28000,No
94,0,29,83000,No
95,0,35,44000,No
96,0,35,25000,No
97,1,28,123000,Si
98,1,35,73000,No
99,0,28,37000,No
100,1,27,88000,No
101,1,28,59000,No
102,0,32,86000,No
103,0,33,149000,Si
104,0,19,21000,No
105,1,21,72000,No
106,0,26,35000,No
107,1,27,89000,No
108,1,26,86000,No
109,0,38,80000,No
110,0,39,71000,No
111,0,37,71000,No
112,1,38,61000,No
113,1,37,55000,No
114,1,42,80000,No
115,1,40,57000,No
116,1,35,75000,No
117,1,36,52000,No
118,1,40,59000,No
119,1,41,59000,No
120,0,36,75000,No
121,1,37,72000,No
122,0,40,75000,No
123,1,35,53000,No
124,0,41,51000,No
125,0,39,61000,No
126,1,42,65000,No
127,1,26,32000,No
128,1,30,17000,No
129,0,26,84000,No
130,1,31,58000,No
131,1,33,31000,No
132,1,30,87000,No
133,0,21,68000,No
134,0,28,55000,No
135,1,23,63000,No
136,0,20,82000,No
137,1,30,107000,Si
138,0,28,59000,No
139,1,19,25000,No
140,1,19,85000,No
141,0,18,68000,No
142,1,35,59000,No
143,1,30,89000,No
144,0,34,25000,No
145,0,24,89000,No
146,0,27,96000,Si
147,0,41,30000,No
148,1,29,61000,No
149,1,20,74000,No
150,0,26,15000,No
151,1,41,45000,No
152,1,31,76000,No
153,0,36,50000,No
154,1,40,47000,No
155,0,31,15000,No
156,1,46,59000,No
157,1,29,75000,No
158,1,26,30000,No
159,0,32,135000,Si
160,1,32,100000,Si
161,1,25,90000,No
162,0,37,33000,No
163,1,35,38000,No
164,0,33,69000,No
165,0,18,86000,No
166,0,22,55000,No
167,0,35,71000,No
168,1,29,148000,Si
169,0,29,47000,No
170,1,21,88000,No
171,1,34,115000,No
172,0,26,118000,No
173,0,34,43000,No
174,0,34,72000,No
175,0,23,28000,No
176,0,35,47000,No
177,1,25,22000,No
178,1,24,23000,No
179,0,31,34000,No
180,1,26,16000,No
181,0,31,71000,No
182,0,32,117000,Si
183,1,33,43000,No
184,0,33,60000,No
185,1,31,66000,No
186,0,20,82000,No
187,0,33,41000,No
188,1,35,72000,No
189,1,28,32000,No
190,1,24,84000,No
191,0,19,26000,No
192,1,29,43000,No
193,1,19,70000,No
194,1,28,89000,No
195,1,34,43000,No
196,0,30,79000,No
197,0,20,36000,No
198,1,26,80000,No
199,1,35,22000,No
200,1,35,39000,No
201,1,49,74000,No
202,0,39,134000,Si
203,0,41,71000,No
204,0,58,101000,Si
205,0,47,47000,No
206,0,55,130000,Si
207,0,52,114000,No
208,0,40,142000,Si
209,0,46,22000,No
210,0,48,96000,Si
211,1,52,150000,Si
212,0,59,42000,No
213,1,35,58000,No
214,1,47,43000,No
215,0,60,108000,Si
216,1,49,65000,No
217,1,40,78000,No
218,0,46,96000,No
219,1,59,143000,Si
220,0,41,80000,No
221,1,35,91000,Si
222,1,37,144000,Si
223,1,60,102000,Si
224,0,35,60000,No
225,1,37,53000,No
226,0,36,126000,Si
227,1,56,133000,Si
228,0,40,72000,No
229,0,42,80000,Si
230,0,35,147000,Si
231,1,39,42000,No
232,1,40,107000,Si
233,1,49,86000,Si
234,0,38,112000,No
235,1,46,79000,Si
236,1,40,57000,No
237,0,37,80000,No
238,0,46,82000,No
239,0,53,143000,Si
240,1,42,149000,Si
241,1,38,59000,No
242,0,50,88000,Si
243,0,56,104000,Si
244,0,41,72000,No
245,0,51,146000,Si
246,0,35,50000,No
247,0,57,122000,Si
248,1,41,52000,No
249,0,35,97000,Si
250,0,44,39000,No
251,1,37,52000,No
252,0,48,134000,Si
253,0,37,146000,Si
254,0,50,44000,No
255,0,52,90000,Si
256,0,41,72000,No
257,1,40,57000,No
258,0,58,95000,Si
259,0,45,131000,Si
260,0,35,77000,No
261,1,36,144000,Si
262,0,55,125000,Si
263,0,35,72000,No
264,1,48,90000,Si
265,0,42,108000,Si
266,1,40,75000,No
267,1,37,74000,No
268,0,47,144000,Si
269,1,40,61000,No
270,0,43,133000,No
271,0,59,76000,Si
272,1,60,42000,Si
273,1,39,106000,Si
274,0,57,26000,Si
275,1,57,74000,Si
276,1,38,71000,No
277,1,49,88000,Si
278,0,52,38000,Si
279,0,50,36000,Si
280,0,59,88000,Si
281,1,35,61000,No
282,1,37,70000,Si
283,0,52,21000,Si
284,1,48,141000,No
285,0,37,93000,Si
286,0,37,62000,No
287,0,48,138000,Si
288,1,41,79000,No
289,0,37,78000,Si
290,1,39,134000,Si
291,1,49,89000,Si
292,1,55,39000,Si
293,1,37,77000,No
294,0,35,57000,No
295,0,36,63000,No
296,1,42,73000,Si
297,0,43,112000,Si
298,1,45,79000,No
299,1,46,117000,Si
300,0,58,38000,Si
301,1,48,74000,Si
302,0,37,137000,Si
303,1,37,79000,Si
304,0,40,60000,No
305,1,42,54000,No
306,0,51,134000,No
307,0,47,113000,Si
308,1,36,125000,Si
309,0,38,50000,No
310,0,42,70000,No
311,1,39,96000,Si
312,0,38,50000,No
313,0,49,141000,Si
314,0,39,79000,No
315,0,39,75000,Si
316,0,54,104000,Si
317,1,35,55000,No
318,1,45,32000,Si
319,1,36,60000,No
320,0,52,138000,Si
321,0,53,82000,Si
322,1,41,52000,No
323,0,48,30000,Si
324,0,48,131000,Si
325,0,41,60000,No
326,1,41,72000,No
327,0,42,75000,No
328,1,36,118000,Si
329,0,47,107000,Si
330,1,38,51000,No
331,0,48,119000,Si
332,1,42,65000,No
333,1,40,65000,No
334,1,57,60000,Si
335,0,36,54000,No
336,1,58,144000,Si
337,1,35,79000,No
338,0,38,55000,No
339,1,39,122000,Si
340,0,53,104000,Si
341,1,35,75000,No
342,0,38,65000,No
343,0,47,51000,Si
344,1,47,105000,Si
345,0,41,63000,No
346,1,53,72000,Si
347,0,54,108000,Si
348,1,39,77000,No
349,1,38,61000,No
350,0,38,113000,Si
351,1,37,75000,No
352,0,42,90000,Si
353,0,37,57000,No
354,1,36,99000,Si
355,1,60,34000,Si
356,1,54,70000,Si
357,0,41,72000,No
358,1,40,71000,Si
359,1,42,54000,No
360,1,43,129000,Si
361,0,53,34000,Si
362,0,47,50000,Si
363,0,42,79000,No
364,1,42,104000,Si
365,0,59,29000,Si
366,0,58,47000,Si
367,1,46,88000,Si
368,1,38,71000,No
369,0,54,26000,Si
370,0,60,46000,Si
371,1,60,83000,Si
372,0,39,73000,No
373,1,59,130000,Si
374,0,37,80000,No
375,0,46,32000,Si
376,0,46,74000,No
377,0,42,53000,No
378,1,41,87000,Si
379,0,58,23000,Si
380,1,42,64000,No
381,1,48,33000,Si
382,0,44,139000,Si
383,1,49,28000,Si
384,0,57,33000,Si
385,1,56,60000,Si
386,0,49,39000,Si
387,1,39,71000,No
388,1,47,34000,Si
389,0,48,35000,Si
390,1,48,33000,Si
391,1,47,23000,Si
